,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.939,0.9391007509887752,0.939,0.9389902360944378
Random Forest,0.986,0.9860016083152298,0.986,0.9859998179692367
MLP (Dense),0.9615,0.9616579753142771,0.9615,0.9614921327383583
CNN,0.9685,0.9685203178347384,0.9685,0.9684982907143442
LSTM,0.9205,0.9213954176097771,0.9205,0.9204812160540701
Transformer,0.494,0.244036,0.494,0.32668808567603747
